filename,transcription,word,speaker
child-froggy1,the the little boy called out froggy and he still does not come,froggy,child
child-froggy2,yyy froggy,froggy,child
child-froggy3,hey froggy,froggy,child
child-froggy4,the dog was playing around with the bees and then the person who owned the dog and the frog um yelled out in the hole froggie,froggy,child
child-froggy5,then the family of frogs had to watch their um little froggy s pet frog yyy,froggy,child
child-froggy6,and boy's yelling out to the froggy,froggy,child
child-froggy7,and he 's saying 'froggy froggy where are you',froggy,child
child-froggy8,froggy,froggy,child
child-froggy9,but one day he couldn't find his froggy,froggy,child
